Config;GraphSize;RegisterCount;FileName
analysis_summary;-1;-1;analysis_summary.txt
compile_size_10752_reg_128_20252611_1909;10752;128;compile_size_10752_reg_128_20252611_1909.txt
compile_size_10752_reg_192_20252611_1909;10752;192;compile_size_10752_reg_192_20252611_1909.txt
compile_size_10752_reg_256_20252611_1909;10752;256;compile_size_10752_reg_256_20252611_1909.txt
compile_size_10752_reg_32_20252611_1909;10752;32;compile_size_10752_reg_32_20252611_1909.txt
compile_size_10752_reg_64_20252611_1909;10752;64;compile_size_10752_reg_64_20252611_1909.txt
compile_size_10752_reg_96_20252611_1909;10752;96;compile_size_10752_reg_96_20252611_1909.txt
compile_size_1344_reg_128_20252611_ 944;1344;128;compile_size_1344_reg_128_20252611_ 944.txt
compile_size_1344_reg_192_20252611_ 944;1344;192;compile_size_1344_reg_192_20252611_ 944.txt
compile_size_1344_reg_256_20252611_ 944;1344;256;compile_size_1344_reg_256_20252611_ 944.txt
compile_size_1344_reg_32_20252611_ 944;1344;32;compile_size_1344_reg_32_20252611_ 944.txt
compile_size_1344_reg_64_20252611_ 944;1344;64;compile_size_1344_reg_64_20252611_ 944.txt
compile_size_1344_reg_96_20252611_ 944;1344;96;compile_size_1344_reg_96_20252611_ 944.txt
compile_size_168_reg_128_20252611_ 944;168;128;compile_size_168_reg_128_20252611_ 944.txt
compile_size_168_reg_192_20252611_ 944;168;192;compile_size_168_reg_192_20252611_ 944.txt
compile_size_168_reg_256_20252611_ 944;168;256;compile_size_168_reg_256_20252611_ 944.txt
compile_size_168_reg_32_20252611_ 944;168;32;compile_size_168_reg_32_20252611_ 944.txt
compile_size_168_reg_64_20252611_ 944;168;64;compile_size_168_reg_64_20252611_ 944.txt
compile_size_168_reg_96_20252611_ 944;168;96;compile_size_168_reg_96_20252611_ 944.txt
compile_size_21504_reg_128_20252611_1909;21504;128;compile_size_21504_reg_128_20252611_1909.txt
compile_size_21504_reg_192_20252611_1909;21504;192;compile_size_21504_reg_192_20252611_1909.txt
compile_size_21504_reg_256_20252611_1909;21504;256;compile_size_21504_reg_256_20252611_1909.txt
compile_size_21504_reg_32_20252611_1909;21504;32;compile_size_21504_reg_32_20252611_1909.txt
compile_size_21504_reg_64_20252611_1909;21504;64;compile_size_21504_reg_64_20252611_1909.txt
compile_size_21504_reg_96_20252611_1909;21504;96;compile_size_21504_reg_96_20252611_1909.txt
compile_size_2688_reg_128_20252611_ 944;2688;128;compile_size_2688_reg_128_20252611_ 944.txt
compile_size_2688_reg_192_20252611_ 944;2688;192;compile_size_2688_reg_192_20252611_ 944.txt
compile_size_2688_reg_256_20252611_ 944;2688;256;compile_size_2688_reg_256_20252611_ 944.txt
compile_size_2688_reg_32_20252611_ 944;2688;32;compile_size_2688_reg_32_20252611_ 944.txt
compile_size_2688_reg_64_20252611_ 944;2688;64;compile_size_2688_reg_64_20252611_ 944.txt
compile_size_2688_reg_96_20252611_ 944;2688;96;compile_size_2688_reg_96_20252611_ 944.txt
compile_size_336_reg_128_20252611_ 944;336;128;compile_size_336_reg_128_20252611_ 944.txt
compile_size_336_reg_192_20252611_ 944;336;192;compile_size_336_reg_192_20252611_ 944.txt
compile_size_336_reg_256_20252611_ 944;336;256;compile_size_336_reg_256_20252611_ 944.txt
compile_size_336_reg_32_20252611_ 944;336;32;compile_size_336_reg_32_20252611_ 944.txt
compile_size_336_reg_64_20252611_ 944;336;64;compile_size_336_reg_64_20252611_ 944.txt
compile_size_336_reg_96_20252611_ 944;336;96;compile_size_336_reg_96_20252611_ 944.txt
compile_size_42_reg_128_20252611_ 944;42;128;compile_size_42_reg_128_20252611_ 944.txt
compile_size_42_reg_192_20252611_ 944;42;192;compile_size_42_reg_192_20252611_ 944.txt
compile_size_42_reg_256_20252611_ 944;42;256;compile_size_42_reg_256_20252611_ 944.txt
compile_size_42_reg_32_20252511_1809;42;32;compile_size_42_reg_32_20252511_1809.txt
compile_size_42_reg_32_20252511_1814;42;32;compile_size_42_reg_32_20252511_1814.txt
compile_size_42_reg_32_20252611_ 028;42;32;compile_size_42_reg_32_20252611_ 028.txt
compile_size_42_reg_32_20252611_ 030;42;32;compile_size_42_reg_32_20252611_ 030.txt
compile_size_42_reg_32_20252611_ 031;42;32;compile_size_42_reg_32_20252611_ 031.txt
compile_size_42_reg_32_20252611_ 036;42;32;compile_size_42_reg_32_20252611_ 036.txt
compile_size_42_reg_32_20252611_ 048;42;32;compile_size_42_reg_32_20252611_ 048.txt
compile_size_42_reg_32_20252611_ 131;42;32;compile_size_42_reg_32_20252611_ 131.txt
compile_size_42_reg_32_20252611_ 132;42;32;compile_size_42_reg_32_20252611_ 132.txt
compile_size_42_reg_32_20252611_ 133;42;32;compile_size_42_reg_32_20252611_ 133.txt
compile_size_42_reg_32_20252611_ 134;42;32;compile_size_42_reg_32_20252611_ 134.txt
compile_size_42_reg_32_20252611_ 822;42;32;compile_size_42_reg_32_20252611_ 822.txt
compile_size_42_reg_32_20252611_ 825;42;32;compile_size_42_reg_32_20252611_ 825.txt
compile_size_42_reg_32_20252611_ 915;42;32;compile_size_42_reg_32_20252611_ 915.txt
compile_size_42_reg_32_20252611_ 916;42;32;compile_size_42_reg_32_20252611_ 916.txt
compile_size_42_reg_32_20252611_ 927;42;32;compile_size_42_reg_32_20252611_ 927.txt
compile_size_42_reg_32_20252611_ 944;42;32;compile_size_42_reg_32_20252611_ 944.txt
compile_size_42_reg_64_20252611_ 031;42;64;compile_size_42_reg_64_20252611_ 031.txt
compile_size_42_reg_64_20252611_ 036;42;64;compile_size_42_reg_64_20252611_ 036.txt
compile_size_42_reg_64_20252611_ 048;42;64;compile_size_42_reg_64_20252611_ 048.txt
compile_size_42_reg_64_20252611_ 131;42;64;compile_size_42_reg_64_20252611_ 131.txt
compile_size_42_reg_64_20252611_ 132;42;64;compile_size_42_reg_64_20252611_ 132.txt
compile_size_42_reg_64_20252611_ 133;42;64;compile_size_42_reg_64_20252611_ 133.txt
compile_size_42_reg_64_20252611_ 134;42;64;compile_size_42_reg_64_20252611_ 134.txt
compile_size_42_reg_64_20252611_ 822;42;64;compile_size_42_reg_64_20252611_ 822.txt
compile_size_42_reg_64_20252611_ 825;42;64;compile_size_42_reg_64_20252611_ 825.txt
compile_size_42_reg_64_20252611_ 916;42;64;compile_size_42_reg_64_20252611_ 916.txt
compile_size_42_reg_64_20252611_ 927;42;64;compile_size_42_reg_64_20252611_ 927.txt
compile_size_42_reg_64_20252611_ 944;42;64;compile_size_42_reg_64_20252611_ 944.txt
compile_size_42_reg_96_20252611_ 822;42;96;compile_size_42_reg_96_20252611_ 822.txt
compile_size_42_reg_96_20252611_ 927;42;96;compile_size_42_reg_96_20252611_ 927.txt
compile_size_42_reg_96_20252611_ 944;42;96;compile_size_42_reg_96_20252611_ 944.txt
compile_size_5376_reg_128_20252611_1909;5376;128;compile_size_5376_reg_128_20252611_1909.txt
compile_size_5376_reg_192_20252611_1909;5376;192;compile_size_5376_reg_192_20252611_1909.txt
compile_size_5376_reg_256_20252611_1909;5376;256;compile_size_5376_reg_256_20252611_1909.txt
compile_size_5376_reg_32_20252611_ 944;5376;32;compile_size_5376_reg_32_20252611_ 944.txt
compile_size_5376_reg_32_20252611_1909;5376;32;compile_size_5376_reg_32_20252611_1909.txt
compile_size_5376_reg_64_20252611_ 944;5376;64;compile_size_5376_reg_64_20252611_ 944.txt
compile_size_5376_reg_64_20252611_1909;5376;64;compile_size_5376_reg_64_20252611_1909.txt
compile_size_5376_reg_96_20252611_ 944;5376;96;compile_size_5376_reg_96_20252611_ 944.txt
compile_size_5376_reg_96_20252611_1909;5376;96;compile_size_5376_reg_96_20252611_1909.txt
compile_size_672_reg_128_20252611_ 944;672;128;compile_size_672_reg_128_20252611_ 944.txt
compile_size_672_reg_192_20252611_ 944;672;192;compile_size_672_reg_192_20252611_ 944.txt
compile_size_672_reg_256_20252611_ 944;672;256;compile_size_672_reg_256_20252611_ 944.txt
compile_size_672_reg_32_20252611_ 944;672;32;compile_size_672_reg_32_20252611_ 944.txt
compile_size_672_reg_64_20252611_ 944;672;64;compile_size_672_reg_64_20252611_ 944.txt
compile_size_672_reg_96_20252611_ 944;672;96;compile_size_672_reg_96_20252611_ 944.txt
compile_size_84_reg_128_20252611_ 944;84;128;compile_size_84_reg_128_20252611_ 944.txt
compile_size_84_reg_192_20252611_ 944;84;192;compile_size_84_reg_192_20252611_ 944.txt
compile_size_84_reg_256_20252611_ 944;84;256;compile_size_84_reg_256_20252611_ 944.txt
compile_size_84_reg_32_20252611_ 944;84;32;compile_size_84_reg_32_20252611_ 944.txt
compile_size_84_reg_64_20252611_ 944;84;64;compile_size_84_reg_64_20252611_ 944.txt
compile_size_84_reg_96_20252611_ 944;84;96;compile_size_84_reg_96_20252611_ 944.txt
